Acronym,Definition,Source(s)
SSP,Source Selection Plan,LCLSII-HE-1.1-PM-0009.pdf page 8
SSQF,Subcontractor Safety Qualification Form,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 3
SSR1,Single-Spoke Resonator 1,CDR-full.pdf page 518
SSSC,"Single-Source, Single Cavity",CDR-full.pdf page 518
SSSP,Site Specific Safety Plan,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
ST,Photon Stoppers (movable),LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
ST1H,HXR photon stopper in the FEE.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
ST1H,Photon Stopper,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
ST1S,SXR photon stopper in the FEE.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
ST1S,Test Stopper,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
ST2S,Photon Stopper,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
ST3S,Photon Stopper,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
STATEOFFCODE,Last Turn Off Code,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
STC,Sound Transmission Class,LCLSII-HE-1.6-RD-0366.pdf page 3
STD,Design Standards and Guidelines,Cryogenic_Controls_FR_Specification.pdf page 3
STF,Fixed Photon Stopper,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
STL,"Senior Team Leader (at FNAL,TJNAF, or LBNL)",LCLSII-HE-1.1-PM-0009.pdf page 8
STL,Senior Team Lead,Procurement_Plan.pdf page 5
STL,Surface Transfer Lines,LCLS-II_2K_Cold_box_Assembly.pdf page 4
STL,Surface Transfer Line,LCLSII-HE-1.3-PM-0225.pdf page 5
STM,Machine Protection System Photon Stopper,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
STR,SLAC Technical Representative,Gantry_and_Motion_System__for_Profilometry_SOW.pdf page 2
SUT,Surface Under Test,Long_Trace_Optical_Profilometer.pdf page 2
SW,Software,HPS_Common_Platform_Engineering_Specification.pdf page 5
SWBD,Switchboard,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
SWGR,Switchgear,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
SWPPP,Storm Water Pollution Prevention Plan,Construction_Project_Safety_and_Health_Plan.pdf page 7
SXR,Superconducting Soft X-Ray Line,LCLSII_BSY_DUMP_Installation_and_Alignment_Inside_the_Frame.pdf page 1
SXR,"Soft X-Ray. In this document, SXR often refers to the electron transport, undulator and associated",LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
SXR,Soft X-Ray,XTES_Rapid_Turnaround_Diag_Station.pdf page 2
SXR,Soft-X-ray,LCLSII-HE-1.4-IC-0389.pdf page 3
SXR,Soft X-Ray beamline installed by LCLS-II in the Undulator Hall,LCLSII-HE-1.5-ES-0326.pdf page 3
SXR,Soft X-Rays,LCLSII-HE-1.6-SW-0433.pdf page 3
SXR,Soft x-ray undulator,Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
SXR,Soft X-ray Undulator. Also used to denote the electron beam transfer line from the BSY to the Soft Xray Undulator,BSY_Dump_Removal_and_Installation_Procedure.pdf page 6
SXR,Soft x-ray undulator beamline,LCLS-II_Undulator_Motion_Control_Requirements.pdf page 3
SXR,Soft X-Ray beamline,XTES_Shield.pdf page 3
SXR,"Soft X-Ray. In this document SXR often refers to the electron transport, undulator and associated photon transport line that operate over the energy range of 0.2 to 2 keV.",Requirements_for_EBD_Beam-dump_Vacuum_Chamber_Protection.pdf page 3
SXR / SXU,Soft X-Ray Undulator,LCLSII-HE-1.3-PP-0527.pdf page 3
SXRSS,Soft X-Ray Self-Seeding,CDR-full.pdf page 518
SXRSS,Soft X-Ray Self Seeding,LCLSII-HE-1.3-ES-0434.pdf page 3
SXRSS,Soft X-ray self-seeding system,LCLSII-HE-1.3-PR-0033.pdf page 3
SXU,Undulator Segment of the soft x-ray undulator beamline,LCLSII-HE-1.1-PR-0014.pdf page 3
SXU,Soft X-Ray Undulator Segment,Undulator_PhaseShifter_FRS.pdf page 3
SXU,SXR Undulator,LCLSII-HE-1.3-PR-0022.pdf page 2
SXU,Soft X-ray Undulator,CDR-full.pdf page 518
SXX,Sector XX,LCLSII-HE-1.3-ES-0586.pdf page 4
Sector,The SLAC 3 Km linac is divided into 100 meter segments. These segments are called “Sectors” and numbered 0 through 30 from west to east. The removal project activities will take place in Sectors 0 through 10.,Linac_Removal_ICD.pdf page 6
Sector 10 Adit,"A tunnel that branches from the north side of the main linac housing in Sector 10 to an at-grade tunnel access point. This tunnel is currently blocked by a shield wall, which will be removed as part of the removal project.",Linac_Removal_ICD.pdf page 6
Shall,A term which indicates that a provision is a requirement.,LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
Shipper,Miller Transfer Inc.,C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
SnD,Split and Delay,LCLSII-HE-1.4-ES-0565.pdf page 4
Spreader,A high repetition vertically deflecting element directing the LCLS-II,Magnet_Power_Supply_Controls_Functional_Requirements_Specification.pdf page 2
Spreader,A high-rate distribution system directing the beam to either the HXR or SXR beamlines or to the BSY dumps,LCLSII-HE-1.3-PR-0022.pdf page 2
Spreader,A high repetition rate beam distribution system directing the LCLS-II-HE beam either to the SXR or HXR beamlines or to the BSY dump,LCLSII-HE-1.1-PR-0028.pdf page 3
Sub.,Substation,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
Subnet,Part of a larger network; subdivides large networks for efficiency,LCLSII-HE-1.5-ES-0326.pdf page 4
Subsystem Controls,"Team of electronics, control software engineers and tech support personnel assigned to develop Controls for an Accelerator Subsystem",SLAC_Injector_Source_Controls_to_LBNL_Injector_Source_Systems.pdf page 4
Subsystem Controls,Team of ICD engineers and tech support assigned to develop Controls for an Accelerator Subsystem,Electron_Beam_Controls_Interfaces.pdf page 4
SuperLANS,Software for Evaluation of Electromagnetic Fields and Resonances,CDR-full.pdf page 518
Sxx,"Sector xx, where xx is the sector number",LCLSII-HE-1.6-RD-0290.pdf page 3
TAG,DESCRIPTION,HRS.UT.IA-OM-SLAC-_Instrument_Air_Startup.pdf page 8
TB,Terminal Box,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
TBD,To Be Determined,Systems_Engineering_Management_Plan.pdf page 5
TBD,RP Technical Basis Document,LCW.pdf page 2
TBD,To Be Defined or To Be Continued. Represents work in progress which will be confirmed and expanded further in the subsequent releases of this document,Magnet_Power_Supply_Controls_Functional_Requirements_Specification.pdf page 2
TBR,To Be Resolved,Systems_Engineering_Management_Plan.pdf page 5
TBW,To Be Written,HPS_Common_Platform_Engineering_Specification.pdf page 5
TCAV,RF transverse deflector,Post-LH_Diagnostic_Beamline_Requirements.pdf page 1
TCAV,Transverse Cavity – an RF structure operated in a transverse mode to streak the beam to provide longitudinal profile information.,Diagnostics.pdf page 1
TCAV,Transverse deflecting RF CAVity,CDR-full.pdf page 518
TCBOC,Two-Color Balanced Optical Cross-Correlator,LCLSII-HE-1.4-EN-0368.pdf page 2
TCCB,Technical Change Control Board,LCLSII-HE-1.1-QA-0229.pdf page 5
TCG,Thermal Conductivity Gauge,XTES_Photon_Stoppers.pdf page 4
TCP/IP,Transmission Controls Protocol/Internet Protocol,CDR-full.pdf page 518
TD,Technical Director,LCLSII-HE-1.1-PM-0009.pdf page 8
TDR,Technical Design Report,CDR-full.pdf page 518
TDS,Transverse Deflecting Structure (same as TCAV).,CDR-full.pdf page 518
TDUND,Tune-up beam Dump upstream of HXR UNDulator,AcceptanceCriteria_and_TransferSystems.pdf page 4
TDUND,Tune Up Dump Prior to Undulators,AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 4
TDUND,"Tune-Up Dump, Undulator",LCLSII-HE-1.6-SW-0433.pdf page 3
TDUNDB,Tune-up beam Dump upstream of SXR UNDulator,AcceptanceCriteria_and_TransferSystems.pdf page 4
TDUNDH,The tune-up dump before the entrance to the undulator hall in the hard line.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
TDUNDS,The tune-up dump before the entrance to the undulator hall in the soft line.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
TEC,Total Estimated Cost,CDR-full.pdf page 518
TEC,Total Estimate of Cost for the project which is the Total Project Cost less the OPC.,LCLS-II_Spares_Plan.pdf page 4
TED,Total Effective Dose,CDR-full.pdf page 518
TEMA,Tubular Exchanger Manufacturers Association,LCLS-II_CDS_Distribution_Box_ESD.pdf page 6
TERM,DEFINISHION,EBD_ESD.pdf page 3
TESLA,TeV Energy Superconducting Linear Accelerator,CDR-full.pdf page 518
TESLA,"TeV Energy Superconducting Linear Accelerator – the predecessor to the ILC concept, developed collaboratively by DESY, Saclay, INFN, Fermilab, Jefferson Lab, Cornell, and other labs and universities under the leadership of DESY. The LCLS-II cryomodule configuration (RF cavities in close-fitting helium vessels suspended from a large helium return pipe, cryogenic piping all within the cryostat) comes from the TESLA collaboration. Hence it is referred to here as TESLA-style.",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
TESLA,"TeV Energy Superconducting Linear Accelerator – the predecessor to the ILC concept, developed collaboratively by DESY, Saclay, INFN, Fermilab, Jefferson Lab and Cornell as well as other labs and universities under the leadership of DESY.The LCLS-II cryomodule configuration (RF cavities in close-fitting helium vessels suspended from a large helium return pipe, cryogenic piping all within the cryostat) comes from the TESLA collaboration. Hence it is referred to here as TESLA-style.",3.9_GHz_Cryomodule_Technical_Specification.pdf page 4
TFO,Timing Fanout electronics module,LCLS-II_SC_Timing_System_Checkout_Procedure_for_Gun_Restart.pdf page 4
THD,Total Harmonic Distortion,CDR-full.pdf page 518
THz,"Terahertz radiation – frequencies above a few hundred GHz, but below optical.",CDR-full.pdf page 518
THz,Terahertz,LCLSII-HE-1.4-ES-0477.pdf page 4
TIA,Tunnel Injector Area,S1-S7-S10-Walls_Doors_Gate_FRS.pdf page 3
TID,Technology Innovation Directorate,Bunch_Charge_Monitor_BCM_Controls_Functional_Requirements.pdf page 3
TIG,"Gas tungsten arc welding (GTAW), also known as tungsten inert gas (TIG) welding, is an arc welding process that uses a non-consumable tungsten electrode to produce the weld. The weld area is protected from atmospheric contamination by an inert shielding gas (argon or helium), and a filler metal is normally used, though some welds, known as autogenous welds, do not require it. A constant-current welding power supply produces energy which is conducted across the arc through a column of highly ionized gas and metal vapors known as a plasma.",3.9_GHz_Fundamental_Power_Coupler.pdf page 3
TIG,Tungsten Inert Gas,CDR-full.pdf page 518
TILES,Table Integrated Laser Enclosure System,LCLSII-HE-1.4-IC-0389.pdf page 3
TJNAF,Thomas Jefferson National Accelerator Facility,CDR-full.pdf page 518
TL,Transfer Line,LCLS-II_Cryoplant_Interface.pdf page 4
TL,Transfer Line (cryogenic),LCLSII-HE-1.3-TS-0393.pdf page 6
TL,Transfer line: a cryogenic component used to transfer cryogens between various CDS and CP components,Cryogenic_Distribution_System_ICD.pdf page 3
TLD,Thermo Luminescent Dosimeter(s),CDR-full.pdf page 518
TLV,Threshold Limit Value,Construction_Project_Safety_and_Health_Plan.pdf page 7
TM,Transfer Measurements,SRD_Dressed_Cavity_TS.pdf page 109
TMIT,Transmitted Intensity,LCLSII-HE-1.5-FR-0320.pdf page 3
TMO,Time resolved Molecular Optical science instrument,Location_Senso_for_Vacuum_Interlock_of_Burn_Through_in_FEE_and_NEH_1.1.pdf page 2
TMO,"Time resolved Molecular Optical Sciences beamline, also referred to as NEH1-1",XTES_to_Experimental_End_Stations.pdf page 3
TOF,Time Of Flight,CDR-full.pdf page 518
TPA,Test Photon Absorber,XTES_Photon_Machine_Protection_System_Functional_Requirements.pdf page 3
TPC,Total Project Cost,CDR-full.pdf page 518
TPG,Timing Pattern Generator,LCLS-II_Timing_System_Engineering_Specifications.pdf page 3
TPI,Threads Per Inch,Undulator_Interspace_Support-Alignment_ESD.pdf page 2
TPR,Timing Pattern Receiver,LCLS-II_Timing_System_Engineering_Specifications.pdf page 3
TPRR,Technical Package Readiness Review,LCLSII-HE-1.1-PM-0009.pdf page 8
TRR,Transportation Readiness Review,LCLSII-HE-1.1-QA-0230.pdf page 5
TRR,Test Readiness Review,LCLSII-HE-1.1-PM-0219.pdf page 6
TS,Technical Standard,XTES_Photon_Stoppers.pdf page 4
TS,Time Stamp,LCLS-II_SC_Timing_System_Checkout_Procedure_for_Gun_Restart.pdf page 4
TSD,Technical Specification Document,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
TSP,Titanium Sublimation Pump,Vacuum_System_Safety.pdf page 2
TTF,Tesla Test Facility,CDR-full.pdf page 518
TTO,Transition To Operation,LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
TTO,Transition to operations,Threshold_KPP_Demonstration_Plan_and_Verification.pdf page 3
TWA,Time Weighted Average,Construction_Project_Safety_and_Health_Plan.pdf page 7
TX,Translation along X axis,LCLSII-HE-1.4-ES-0422.pdf page 4
TX,Transmitter,HPS_Common_Platform_Engineering_Specification.pdf page 5
TX,Transformer,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
TXI,"Tender X-ray Imaging Instrument, also referred to as NEH1-2",XTES_to_Experimental_End_Stations.pdf page 3
TXI,Tender X-ray Instrument,LCLSII-HE-1.4-ES-0570.pdf page 3
TY,Translation along Y axis,LCLSII-HE-1.4-ES-0422.pdf page 4
TZ,Translation along Z axis,LCLSII-HE-1.4-ES-0422.pdf page 4
Term,Definition,XTES_Rapid_Turnaround_Diag_Station.pdf page 2
Tn,Translation along n axis,LCLSII-HE-1.4-ES-0422.pdf page 4
Tp,Translation along p axis,LCLSII-HE-1.4-ES-0422.pdf page 4
Tr-ARPES,Time Domain Angle Resolved Photoemission Spectroscopy,CDR-full.pdf page 518
Turbo ICT,Turbo Integrating Current Transformer,Bunch_Charge_Monitor_(BCM)_Monitor_Controls_Engineering_Specification.pdf page 3
TwinCAT,Beckhoff realtime runtime and engineering environment,Statement_of_Work_for_XTES_SXR_Vacuum_Control_System_Design_and_Implementation.pdf page 2
Type,Condition,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
UCB,Upper Coldbox (vertical),C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
UCM,Undulator Control Module,HXR_Undulator_Motion_Control_ESD.pdf page 3
UCMI,Undulator Control Module Interface,HXR_Undulator_Motion_Control_ESD.pdf page 3
UCMI-2,Undulator Control Module Interface-2,HXR_Undulator_Motion_Controls_Checkout_Procedure.pdf page 3
UDP,User Datagram Protocol,HPS_Common_Platform_Engineering_Specification.pdf page 5
UH,LCLS Undulator Hall,Undulator_Vacuum_Chamber.pdf page 3
UH,Undulator Hall section of the UXT,CDR-full.pdf page 518
UH,Undulator Hall,LCLSII-HE-1.6-SW-0433.pdf page 3
UHF,Ultra-High Frequency,CDR-full.pdf page 518
UHV,Ultra high vacuum is the vacuum regime characterized by pressures lower than 10−9 torr.,3.9_GHz_Fundamental_Power_Coupler.pdf page 3
UHV,Ultra-High Vacuum,XTES_Test_Photon_Stopper.pdf page 4
UHV,Ultra High Vacuum,XTES_Rapid_Turnaround_Diag_Station.pdf page 2
UHV`,Ultrahigh Vacuum,LCLSII-HE-1.3-ES-0586.pdf page 4
UI,User Interface. The operator and user displays and programs.,Cryogenic_Controls_FR_Specification.pdf page 3
UI,User Interface,Cryogenic_Controls_ESD.pdf page 5
UI,User Interface (EDM or PyDM screens),LCLS-II_Bunch_Chicane_2B_Controls_Checkout_Procedure.pdf page 2
UIC,Undulator Interface Chassis,SXR_Undulator_Motion_Control_ESD.pdf page 3
UIR,Undulator Instrument Rack,HXR_Undulator_Motion_Control_ESD.pdf page 3
UL,Underwriter’s Laboratory,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
UL,Underwriter Laboratories,LCLSII-HE-1.7-SW-0447.pdf page 23
UL,Underwriters Laboratory,LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
UL,Underwriters Laboratories,Fire_Hazard_Analysis.pdf page 36
UL508A,"Underwriters Lab 508A, Standard for Industrial Control Panels",LCLSII-HE-1.5-FR-0711.pdf page 5
UMCB,Upper Main Coldbox,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
UMCC,Undulator Motion Control Chassis,SXR_Undulator_Motion_Control_ESD.pdf page 3
UMF,Undulator Measurement Facility (LBNL),Undulator_Segment_Functional_Requirements.pdf page 2
UMPI,Undulator Motor Power / Interrupt Chassis,HXR_Undulator_Motion_Control_ESD.pdf page 3
UNDH:4050:A,UH downstream,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
UNDS:4050:A,UH downstream,Procedure_for_Gain_Adjustments_for_LBLMs_Covering_the_Cryomodules_and_the_Bypass_Line.pdf page 10
UNS,Unified numbering system is an alloy designation system widely accepted in North America. It consists of a prefix letter and five digits designating a material composition.,3.9_GHz_Fundamental_Power_Coupler.pdf page 3
UPS,Uninterruptable Power Supply,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
UPS,Uninterruptible Power Supply,ODH_Controls.pdf page 6
US,Upstream with respect to electron beam direction,LCLSII-HE-1.3-TS-0393.pdf page 6
US,Upstream,SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
USA,Upstream Aisle,HXR_Undulator_Motion_Controls_Checkout_Procedure.pdf page 3
USC,United States Code,Construction_Project_Safety_and_Health_Plan.pdf page 7
USGS,United States Geological Survey,ODHA_PM.pdf page 4
USI,Unreviewed Safety Issue,LCLS-II_Readiness_Review_Process.pdf page 5
USI,Un-reviewed Safety Issue,Report_from_Nov.2017_Meeting_with_ARR_Committee_Chair.pdf page 3
USW,Upstream Wall,HXR_Undulator_Motion_Controls_Checkout_Procedure.pdf page 3
UV,Ultra Violet,CDR-full.pdf page 518
UXT,"Undulator X-ray Tunnel (includes undulator hall, e dump, & front end enclosure)",CDR-full.pdf page 518
Usable Amplitude,"The highest amplitude at which a cavity can be operated stably in the linac, defined at the partner labs during cryomodule testing. Limited by radiation and/or stable operation",LCLS-II_Cryomodule_Commissioning_Procedure.pdf page 2
VAC,Voltage of Alternating Current,HPS_Common_Platform_Engineering_Specification.pdf page 5
VAC,Vacuum,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
VALVE LOC,CONTROLLR LOCATION,"LCLS-II_Controls_Checkout,_JT_Valves.pdf page 19"
VALVE LOC,CONTROLLER LOCATION,"LCLS-II_Controls_Checkout,_JT_Valves.pdf page 17"
VBB,Vacuum Break Box,LCLSII-HE-1.3-PM-0225.pdf page 5
VBB,Vacuum Break Box. It is the Vacuum Break Box in L3 in this document except those specially named.,L3_Vacuum_Break_Box_Functional_Requirements.pdf page 3
VBB,CM26,Cryomodule_Insulation_Vacuum_Pumping_Procedure.pdf page 21
VCB,Vacuum Circuit Breaker,S0-10_Equipment_Removal_Electrical_Work_Plan.pdf page 3
VCO,Voltage control oscillator,LCLS-II_Timing_System_Engineering_Specifications.pdf page 3
VDC,Volts DC (Direct Current),LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 4
VDC,Voltage of Direct Current,HPS_Common_Platform_Engineering_Specification.pdf page 5
VESDA,Very Early Smoke Detection Apparatus,LCLSII-HE-1.6-SW-0799.pdf page 6
